
w = 0.1 , gain = -0.827554 , phase = -0.581786
w = 0.2 , gain = -0.826653 , phase = -1.16338
w = 0.3 , gain = -0.825155 , phase = -1.74459
w = 0.4 , gain = -0.823059 , phase = -2.32523
w = 0.5 , gain = -0.820371 , phase = -2.90511
w = 0.6 , gain = -0.817093 , phase = -3.48404
w = 0.7 , gain = -0.813231 , phase = -4.06183
w = 0.8 , gain = -0.80879 , phase = -4.6383
w = 0.9 , gain = -0.803776 , phase = -5.21326
w = 1 , gain = -0.798197 , phase = -5.78654
w = 1.1 , gain = -0.792061 , phase = -6.35796
w = 1.2 , gain = -0.785377 , phase = -6.92734
w = 1.3 , gain = -0.778154 , phase = -7.49451
w = 1.4 , gain = -0.770403 , phase = -8.05931
w = 1.5 , gain = -0.762134 , phase = -8.62157
w = 1.6 , gain = -0.753359 , phase = -9.18113
w = 1.7 , gain = -0.74409 , phase = -9.73784
w = 1.8 , gain = -0.73434 , phase = -10.2915
w = 1.9 , gain = -0.724122 , phase = -10.8421
w = 2 , gain = -0.71345 , phase = -11.3893
w = 2.1 , gain = -0.702338 , phase = -11.9332
w = 2.2 , gain = -0.690801 , phase = -12.4734
w = 2.3 , gain = -0.678854 , phase = -13.01
w = 2.4 , gain = -0.666512 , phase = -13.5427
w = 2.5 , gain = -0.653791 , phase = -14.0715
w = 2.6 , gain = -0.640708 , phase = -14.5963
w = 2.7 , gain = -0.627277 , phase = -15.1169
w = 2.8 , gain = -0.613516 , phase = -15.6333
w = 2.9 , gain = -0.599442 , phase = -16.1453
w = 3 , gain = -0.585071 , phase = -16.6529
w = 3.1 , gain = -0.57042 , phase = -17.1559
w = 3.2 , gain = -0.555506 , phase = -17.6543
w = 3.3 , gain = -0.540346 , phase = -18.1481
w = 3.4 , gain = -0.524957 , phase = -18.6371
w = 3.5 , gain = -0.509355 , phase = -19.1212
w = 3.6 , gain = -0.493559 , phase = -19.6005
w = 3.7 , gain = -0.477583 , phase = -20.0749
w = 3.8 , gain = -0.461446 , phase = -20.5442
w = 3.9 , gain = -0.445164 , phase = -21.0086
w = 4 , gain = -0.428753 , phase = -21.4678
w = 4.1 , gain = -0.412229 , phase = -21.922
w = 4.2 , gain = -0.395608 , phase = -22.371
w = 4.3 , gain = -0.378906 , phase = -22.8148
w = 4.4 , gain = -0.362138 , phase = -23.2535
w = 4.5 , gain = -0.34532 , phase = -23.6869
w = 4.6 , gain = -0.328467 , phase = -24.1151
w = 4.7 , gain = -0.311593 , phase = -24.5381
w = 4.8 , gain = -0.294712 , phase = -24.9558
w = 4.9 , gain = -0.277839 , phase = -25.3683
w = 5 , gain = -0.260987 , phase = -25.7755
w = 5.1 , gain = -0.244169 , phase = -26.1774
w = 5.2 , gain = -0.2274 , phase = -26.5741
w = 5.3 , gain = -0.21069 , phase = -26.9656
w = 5.4 , gain = -0.194053 , phase = -27.3519
w = 5.5 , gain = -0.1775 , phase = -27.7329
w = 5.6 , gain = -0.161043 , phase = -28.1088
w = 5.7 , gain = -0.144693 , phase = -28.4794
w = 5.8 , gain = -0.128461 , phase = -28.8449
w = 5.9 , gain = -0.112358 , phase = -29.2053
w = 6 , gain = -0.0963922 , phase = -29.5606
w = 6.1 , gain = -0.0805746 , phase = -29.9108
w = 6.2 , gain = -0.0649142 , phase = -30.2559
w = 6.3 , gain = -0.0494199 , phase = -30.596
w = 6.4 , gain = -0.0341002 , phase = -30.9311
w = 6.5 , gain = -0.0189633 , phase = -31.2613
w = 6.6 , gain = -0.00401692 , phase = -31.5866
w = 6.7 , gain = 0.0107314 , phase = -31.907
w = 6.8 , gain = 0.0252747 , phase = -32.2225
w = 6.9 , gain = 0.0396061 , phase = -32.5333
w = 7 , gain = 0.0537193 , phase = -32.8392
w = 7.1 , gain = 0.0676082 , phase = -33.1405
w = 7.2 , gain = 0.0812672 , phase = -33.4371
w = 7.3 , gain = 0.0946908 , phase = -33.729
w = 7.4 , gain = 0.107874 , phase = -34.0164
w = 7.5 , gain = 0.120812 , phase = -34.2992
w = 7.6 , gain = 0.1335 , phase = -34.5775
w = 7.7 , gain = 0.145935 , phase = -34.8514
w = 7.8 , gain = 0.158112 , phase = -35.1208
w = 7.9 , gain = 0.170028 , phase = -35.3859
w = 8 , gain = 0.181679 , phase = -35.6467
w = 8.1 , gain = 0.193063 , phase = -35.9032
w = 8.2 , gain = 0.204177 , phase = -36.1554
w = 8.3 , gain = 0.215018 , phase = -36.4035
w = 8.4 , gain = 0.225583 , phase = -36.6475
w = 8.5 , gain = 0.235872 , phase = -36.8874
w = 8.6 , gain = 0.245882 , phase = -37.1232
w = 8.7 , gain = 0.255612 , phase = -37.3551
w = 8.8 , gain = 0.265059 , phase = -37.583
w = 8.9 , gain = 0.274224 , phase = -37.807
w = 9 , gain = 0.283106 , phase = -38.0272
w = 9.1 , gain = 0.291702 , phase = -38.2436
w = 9.2 , gain = 0.300014 , phase = -38.4562
w = 9.3 , gain = 0.30804 , phase = -38.6651
w = 9.4 , gain = 0.315781 , phase = -38.8704
w = 9.5 , gain = 0.323236 , phase = -39.0721
w = 9.6 , gain = 0.330405 , phase = -39.2701
w = 9.7 , gain = 0.337289 , phase = -39.4647
w = 9.8 , gain = 0.343889 , phase = -39.6558
w = 9.9 , gain = 0.350204 , phase = -39.8434
w = 10 , gain = 0.356236 , phase = -40.0276
